{'reviewerID': 'jq0vd3mgIqgnw-tj-JvEfA', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.1521, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': 'RV1wQ7HxI60DkMJPPLa5hg', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'gZ-CewXerXlytUGV-4nFRA', 'poss_spam': 0.0001, 'spam': 0.2455, 'spam_score_total': 0.6546, 'not_spam': 0.0001, 'spam_score_ts': 0.6546}
{'reviewerID': 'o-TSc9yxEARU29EC68hVRg', 'poss_spam': 0.0001, 'spam': 0.0268, 'spam_score_total': 0.0715, 'not_spam': 0.0001, 'spam_score_ts': 0.0715}
{'reviewerID': 'qhEpi8OpUmJpqsH4TedRRw', 'poss_spam': 0.3214, 'spam': 0.0006, 'spam_score_total': 0.109, 'not_spam': 0.0001, 'spam_score_ts': 0.1088}
{'reviewerID': 'Bs-YIZ4KwRv5g7UfDkJdug', 'poss_spam': 0.0001, 'spam': 0.1475, 'spam_score_total': 0.3934, 'not_spam': 0.0001, 'spam_score_ts': 0.3934}
{'reviewerID': 'v4moayUsuHV0dEG23e564g', 'poss_spam': 0.0821, 'spam': 0.0515, 'spam_score_total': 0.0549, 'not_spam': 0.0001, 'spam_score_ts': 0.1648}
{'reviewerID': '5F_ASUSCHFf3YotkKioZ5w', 'poss_spam': 0.0001, 'spam': 0.2307, 'spam_score_total': 0.6151, 'not_spam': 0.0001, 'spam_score_ts': 0.6151}
{'reviewerID': 'KOlf-a3NeJBAcsZh4DWHhw', 'poss_spam': 0.3207, 'spam': 0.0009, 'spam_score_total': 0.109, 'not_spam': 0.0001, 'spam_score_ts': 0.1094}
{'reviewerID': 'gfPJAZeyN9S9vZIoegXBLw', 'poss_spam': 0.3209, 'spam': 0.0009, 'spam_score_total': 0.1092, 'not_spam': 0.0001, 'spam_score_ts': 0.1092}
{'reviewerID': 'i0FpqZC8_uQeYzpI7kMpuA', 'poss_spam': 0.1296, 'spam': 0.041, 'spam_score_total': 0.1236, 'not_spam': 0.0001, 'spam_score_ts': 0.1525}
{'reviewerID': 'NxxmeuEYqOp6459O6WmauQ', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.0466, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': '1WrXaPKsV9k7M0qXMn1gXw', 'poss_spam': 0.0001, 'spam': 0.1665, 'spam_score_total': 0.4439, 'not_spam': 0.0001, 'spam_score_ts': 0.4439}
{'reviewerID': 'eFd96Swlfzfq0d57RW1ozA', 'poss_spam': 0.331, 'spam': 0.0003, 'spam_score_total': 0.111, 'not_spam': 0.0001, 'spam_score_ts': 0.111}
{'reviewerID': 'vMHfJmVTVdvxBn3BGk6U8Q', 'poss_spam': 0.0284, 'spam': 0.0634, 'spam_score_total': 0.1761, 'not_spam': 0.0001, 'spam_score_ts': 0.1786}
{'reviewerID': 'JB1e2xf0B1fLvywnTsFn-g', 'poss_spam': 0.1296, 'spam': 0.041, 'spam_score_total': 0.1237, 'not_spam': 0.0001, 'spam_score_ts': 0.1525}
{'reviewerID': 'p8w_DRU96tNeK6xL8dcptg', 'poss_spam': 0.2309, 'spam': 0.0185, 'spam_score_total': 0.1264, 'not_spam': 0.0001, 'spam_score_ts': 0.1264}
{'reviewerID': 'vE4bVeTrtFS-AprYuQMmaA', 'poss_spam': 0.0001, 'spam': 0.0306, 'spam_score_total': 0.1286, 'not_spam': 0.0001, 'spam_score_ts': 0.0816}
{'reviewerID': 'I11zT6U1lAI2qd8b5O2pvw', 'poss_spam': 0.0001, 'spam': 0.0698, 'spam_score_total': 0.1862, 'not_spam': 0.0001, 'spam_score_ts': 0.1862}
