{'reviewerID': 'eeemUU0oFchyKC4xL2-1pQ', 'poss_spam': 0.3203, 'spam': 0.0011, 'spam_score_total': 0.1103, 'not_spam': 0.0001, 'spam_score_ts': 0.1097}
{'reviewerID': 'jzH04vzXw5xs4sxAUWFohg', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.0466, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'xL4EOIKW6ZRM06T1lMjb_w', 'poss_spam': 0.1154, 'spam': 0.1139, 'spam_score_total': 0.189, 'not_spam': 0.0001, 'spam_score_ts': 0.3421}
{'reviewerID': 'bTgNsBtBY0Wqs2rAiZ9Chw', 'poss_spam': 0.3195, 'spam': 0.0014, 'spam_score_total': 0.0368, 'not_spam': 0.0001, 'spam_score_ts': 0.1103}
{'reviewerID': 'yjmjmBH3T8-jPfvPp6aL2g', 'poss_spam': 0.0001, 'spam': 0.0218, 'spam_score_total': 0.0581, 'not_spam': 0.0001, 'spam_score_ts': 0.0581}
{'reviewerID': 'LSIysddXyTlkMR8RbVlofA', 'poss_spam': 0.0285, 'spam': 0.0634, 'spam_score_total': 0.0595, 'not_spam': 0.0001, 'spam_score_ts': 0.1785}
{'reviewerID': 'UgCASgi_S558dBS2QQYe8g', 'poss_spam': 0.3197, 'spam': 0.0013, 'spam_score_total': 0.0367, 'not_spam': 0.0001, 'spam_score_ts': 0.1101}
{'reviewerID': 'J6VhxG9cLqn2VX-8vheNZg', 'poss_spam': 0.3193, 'spam': 0.0015, 'spam_score_total': 0.0368, 'not_spam': 0.0001, 'spam_score_ts': 0.1104}
{'reviewerID': 'khPkVSgyTqPxi-tscd6cDw', 'poss_spam': 0.2384, 'spam': 0.0169, 'spam_score_total': 0.0415, 'not_spam': 0.0001, 'spam_score_ts': 0.1245}
{'reviewerID': 'NopvY71aQt7jt5PXFTUOBQ', 'poss_spam': 0.0001, 'spam': 0.2117, 'spam_score_total': 0.1882, 'not_spam': 0.0001, 'spam_score_ts': 0.5645}
{'reviewerID': '7VjGynQ1oCHZlytlm23Tgg', 'poss_spam': 0.4031, 'spam': 0.0001, 'spam_score_total': 0.1344, 'not_spam': 0.0001, 'spam_score_ts': 0.1344}
{'reviewerID': 'C5Pf0I0YZEEw2cG8yTcH4Q', 'poss_spam': 0.3195, 'spam': 0.0014, 'spam_score_total': 0.1099, 'not_spam': 0.0001, 'spam_score_ts': 0.1103}
{'reviewerID': 'Bs-YIZ4KwRv5g7UfDkJdug', 'poss_spam': 0.3677, 'spam': 0.0001, 'spam_score_total': 0.0409, 'not_spam': 0.0001, 'spam_score_ts': 0.1226}
{'reviewerID': 'YHeIGujddarQ0KuyhTScQw', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': 'mr70FAgn7ETndmzt0-h5cA', 'poss_spam': 0.4369, 'spam': 0.0001, 'spam_score_total': 0.0485, 'not_spam': 0.0001, 'spam_score_ts': 0.1456}
{'reviewerID': 'kvf85ot7fhf3hqSDVJy2gA', 'poss_spam': 0.4196, 'spam': 0.0001, 'spam_score_total': 0.1399, 'not_spam': 0.0001, 'spam_score_ts': 0.1399}
{'reviewerID': '6RJBeJlbDGrZO91Qc2NG9A', 'poss_spam': 0.2387, 'spam': 0.0865, 'spam_score_total': 0.2048, 'not_spam': 0.0001, 'spam_score_ts': 0.3103}
{'reviewerID': '3gEjIcYYcnTYNyexMTcArA', 'poss_spam': 0.3195, 'spam': 0.0014, 'spam_score_total': 0.1105, 'not_spam': 0.0001, 'spam_score_ts': 0.1103}
{'reviewerID': 'aJEZeCZEbT26XWjMWMJx1A', 'poss_spam': 0.0001, 'spam': 0.057, 'spam_score_total': 0.1698, 'not_spam': 0.0001, 'spam_score_ts': 0.1521}
{'reviewerID': 'lrMmvkfLbx2YZkiJwNs4ow', 'poss_spam': 0.345, 'spam': 0.0001, 'spam_score_total': 0.1154, 'not_spam': 0.0001, 'spam_score_ts': 0.1154}
